2026-01-27 20:08:33,057 | INFO | Starting USB device monitoring
2026-01-27 20:09:30,164 | INFO | ID_MODEL_ID=ef18
2026-01-27 20:09:30,164 | INFO | ID_VENDOR_ID=23a9
2026-01-27 20:09:30,236 | INFO | ID_MODEL_ID=ef18
2026-01-27 20:09:30,237 | INFO | ID_VENDOR_ID=23a9
2026-01-27 20:09:45,601 | INFO | Starting USB device monitoring
2026-01-27 20:11:09,564 | INFO | Starting USB device monitoring
2026-01-27 20:11:18,050 | INFO | ID_MODEL_ID=ef18
2026-01-27 20:11:18,052 | INFO | ID_VENDOR_ID=23a9
2026-01-27 20:11:18,114 | INFO | ID_MODEL_ID=ef18
2026-01-27 20:11:18,114 | INFO | ID_VENDOR_ID=23a9
2026-01-27 20:20:53,290 | INFO | Starting USB device monitoring
2026-01-27 20:28:18,324 | INFO | Starting USB device monitoring
2026-01-27 20:29:15,222 | INFO | USB monitoring stopped by user
2026-01-27 20:29:15,222 | INFO | USB monitor process terminated cleanly
2026-01-28 23:10:15,589 | INFO | Starting USB device monitoring
2026-01-28 23:10:23,805 | INFO | ID_MODEL_ID=ef18
2026-01-28 23:10:23,805 | INFO | ID_VENDOR_ID=23a9
2026-01-28 23:10:23,890 | INFO | ID_MODEL_ID=ef18
2026-01-28 23:10:23,890 | INFO | ID_VENDOR_ID=23a9
2026-01-28 23:10:48,149 | INFO | ID_MODEL_ID=ef18
2026-01-28 23:10:48,150 | INFO | ID_VENDOR_ID=23a9
2026-01-28 23:10:48,202 | INFO | ID_MODEL_ID=ef18
2026-01-28 23:10:48,202 | INFO | ID_VENDOR_ID=23a9
2026-01-28 23:10:56,814 | INFO | USB monitoring stopped by user
2026-01-28 23:10:56,814 | INFO | USB monitor process terminated cleanly
2026-01-28 23:29:24,055 | INFO | Starting USB device monitoring
2026-01-28 23:29:42,226 | INFO | ID_MODEL_ID=ef18
2026-01-28 23:29:42,228 | INFO | ID_VENDOR_ID=23a9
2026-01-28 23:29:42,304 | INFO | ID_MODEL_ID=ef18
2026-01-28 23:29:42,304 | INFO | ID_VENDOR_ID=23a9
2026-01-28 23:29:56,306 | INFO | ID_MODEL_ID=0066
2026-01-28 23:29:56,307 | INFO | ID_VENDOR_ID=1ea7
2026-01-28 23:29:56,329 | INFO | ID_MODEL_ID=0066
2026-01-28 23:29:56,329 | INFO | ID_VENDOR_ID=1ea7
2026-01-28 23:29:56,564 | INFO | ID_MODEL_ID=0066
2026-01-28 23:29:56,565 | INFO | ID_VENDOR_ID=1ea7
2026-01-28 23:30:30,244 | INFO | ID_MODEL_ID=0066
2026-01-28 23:30:30,245 | INFO | ID_VENDOR_ID=1ea7
2026-01-28 23:30:30,253 | INFO | ID_MODEL_ID=ef18
2026-01-28 23:30:30,254 | INFO | ID_VENDOR_ID=23a9
2026-01-28 23:30:30,273 | INFO | ID_MODEL_ID=0066
2026-01-28 23:30:30,273 | INFO | ID_VENDOR_ID=1ea7
2026-01-28 23:30:30,449 | INFO | ID_MODEL_ID=ef18
2026-01-28 23:30:30,450 | INFO | ID_VENDOR_ID=23a9
2026-01-28 23:30:30,538 | INFO | ID_MODEL_ID=0066
2026-01-28 23:30:30,538 | INFO | ID_VENDOR_ID=1ea7
2026-01-28 23:30:38,221 | INFO | USB monitoring stopped by user
2026-01-28 23:30:38,221 | INFO | USB monitor process terminated cleanly
2026-01-29 12:45:23,142 | INFO | Starting USB device monitoring
2026-01-29 12:45:36,533 | INFO | ID_MODEL_ID=ef18
2026-01-29 12:45:36,534 | INFO | ID_VENDOR_ID=23a9
2026-01-29 12:45:36,629 | INFO | ID_MODEL_ID=ef18
2026-01-29 12:45:36,630 | INFO | ID_VENDOR_ID=23a9
2026-01-29 12:45:49,514 | INFO | ID_MODEL_ID=0066
2026-01-29 12:45:49,514 | INFO | ID_VENDOR_ID=1ea7
2026-01-29 12:45:49,535 | INFO | ID_MODEL_ID=0066
2026-01-29 12:45:49,541 | INFO | ID_VENDOR_ID=1ea7
2026-01-29 12:45:49,814 | INFO | ID_MODEL_ID=0066
2026-01-29 12:45:49,814 | INFO | ID_VENDOR_ID=1ea7
2026-01-29 13:20:10,426 | INFO | USB monitoring stopped by user
2026-01-29 13:20:10,427 | INFO | USB monitor process terminated cleanly
2026-02-01 23:37:09,357 | INFO | Starting USB device monitoring
2026-02-01 23:37:19,956 | INFO | USB monitoring stopped by user
2026-02-01 23:37:19,956 | INFO | USB monitor process terminated cleanly
2026-02-01 23:37:21,490 | INFO | Starting USB device monitoring
2026-02-01 23:37:23,564 | INFO | USB monitoring stopped by user
2026-02-01 23:37:23,564 | INFO | USB monitor process terminated cleanly
